ID,Marque,Nom
48230001,Indépendant sans enseigne,SARL DAUDE
54800006,Total,TOTAL
49440001,Système U,Super U CANDE
6240004,SEAM,L'Espanol
27930002,Carrefour,CARREFOUR EVREUX
7300006,Total,RELAIS DES LUETTES
12200003,Esso Express,ESSO LA ROCADE
19100011,,
53230003,Carrefour Contact,CARREFOUR CONTACT
26240003,,
35490001,Total,JLJ DISTRIBUTION
40140004,Intermarché,INTERMARCHE SOUSTONS
2100013,Intermarché,INTERMARCHE SAINT-QUENTIN   /ZAC
59500003,Total,SA PATY AUTOMOBILES
62128010,BP,BP  WANCOURT EST
62130002,Esso Express,ESSO LA TERNOISE
62450005,Total Access,RELAIS ST FIACRE
77680001,Esso Express,ESSO MALIBRAN
80200012,BP,BP ASSEVILLERS EST
83690005,aucune,STATION DE LA BAUME
91000004,Esso Express,ESSO EVRY
42550001,Intermarché Contact,INTERMARCHE CONTACT
88600002,Leclerc,BRUYERES DISTRIBUTION
31210007,Avia,Avia
71100002,Carrefour,CARREFOUR CHALON  SUD
41400002,Total,SARL RELAIS DES CARRIERES
25000022,Indépendant sans enseigne,Sarl sdc station des chaprais
59770003,Total,Garage Barbusse
27260002,Carrefour Market,Carrefour Market
40200002,Leclerc,PLAGECO DISTRIBUTION
72190004,Total,RELAIS SARTHE SARGE LE MANS NORD
51100002,Carrefour Market,Carrefour Market
50160004,,
9200003,Indépendant sans enseigne,DEFA
67260006,Shell,ALCANE GESTION
76000006,Avia,SARL Albik
76500005,,
13270012,Total Access,RELAIS FOS SUR MER
21340001,Atac,ATAC NOLAY
38290003,Total,ALEP SAS
13170011,Total Access,RELAIS MIRABEAU
60410003,Carrefour Contact,CARREFOUR CONTACT
14123001,Simply Market,SIMPLY MARKET
44600006,Avia,SARL AMALLY
25440002,,
86700001,Carrefour Contact,CARREFOUR CONTACT
3630004,Carrefour Market,MARKET DESERTINES
62152001,Carrefour Market,Carrefour Market
68170002,Intermarché,INTERMARCHE RIXHEIM
28800002,,
54300007,Intermarché,INTERMARCHE CHANTEHEUX
60290005,Total Access,RELAIS DU TIRELET
34530001,Indépendant sans enseigne,Tabac Station Service Lopez
62630003,Carrefour Market,Carrefour Market
63850001,,
3410010,,
39170001,Supermarchés Spar,SPAR SUPERMARCHE
88200015,Total Access,RELAIS PTE HTES VOSGES
28420001,Total,SARL GOUHIER
68390002,Shell,REAL SARL
29100003,Leclerc,Centre E.Leclerc Douarnenez
65120002,Indépendant sans enseigne,Eurl crepel yves
38200017,Carrefour Market,Carrefour Market Vienne Estressin
22570001,Total,EURL MARTIN SEBASTIEN
84000020,Total Access,RELAIS CH. DE GAULLE AVIGNON
56400006,Elan,ETS SAVARY SARL
35560003,Carrefour Contact,Carrefour Contact ANTRAIN
21350002,,
38260003,Total,GARAGE TOZLANIAN
61200003,Total,M. CORBEL BERNARD
76400008,Intermarché,INTERMARCHE
39130008,Carrefour Express,CARREFOUR EXPRESS
15130003,Esso,ESBRAT ROCHE PIERREFORT
62210001,Carrefour Market,Carrefour Market
64300007,Système U,SARL SAUNADIS
9240003,,
20250009,,
26190002,Intermarché,INTERMARCHE
35480002,Elan,SAINDON Agnès
21460002,Maximarché,MAXIMARCHE TOUTRY
85590001,Intermarché Contact,INTERMARCHE LES EPESSES
50150002,Système U,STATION U
13010001,Auchan,AUCHAN ST LOUP
17640002,Intermarché,SAS Les Perches Distribution Intermarché
33610005,Intermarché,INTERMARCHE CESTAS
72650004,,
62120001,Carrefour,CARREFOUR AIRE SUR LA LYS
80290001,Carrefour Market,Carrefour Market
59580001,Total,BOIVIN OCTAVE ET CIE SA
60350002,Intermarché,INTERMARCHE TROSLY-BREUIL
89600004,Intermarché,INTERMARCHE ST FLORENTIN
46090002,Leclerc,E.LECLERC - SAS Cahors Pradis
53230001,Total,SARL GARAGE BATARD
83390001,Total,SARL JEAN GREGU
72160002,Carrefour Market,MARKET CONNERRE
40530003,Intermarché,INTERMARCHE LABENNE
44380007,Intermarché,Intermarché
77760003,Leclerc,SODIPLEC ACHERES OUEST
34770006,,
35410001,Système U,Hyper U CHATEAUGIRON
40200001,Carrefour Market,Carrefour Market
12200002,Carrefour,Carrefour
14330001,Système U,super u
26120004,Intermarché,INTERMARCHE MONTELIER
62680001,Intermarché,INTERMARCHE MERICOURT
21410001,Intermarché Contact,SAS ANJUEL
59219001,Total,GARAGE HERBERT
35260002,Système U,Super U CANCALE
73230001,Avia,AVIA ST ALBAN LEYSSE
71160001,Total,Relais Lagarde Digoin
56390001,Carrefour Market,Carrefour Market
77160003,Intermarché,INTERMARCHE PROVINS
69420001,Carrefour Market,Carrefour Market
69120011,,
81800004,Intermarché,INTERMARCHE
77150003,Carrefour Market,Carrefour Market
78980002,Total,LONGNES AUTOMOBILES
13800010,,
2340001,Carrefour Market,Carrefour Market
16400002,Système U,Super U Coop Atlantique La Couronne
70000007,Intermarché,INTERMARCHE NAVENNE
73800006,,
62450001,Carrefour Market,Carrefour Market
6130007,Leclerc,SAS HYPER LECLERC GRASSE
71590001,,
31330002,Intermarché,Sas jucel
66000016,Total Access,TOTAL ACCESS SAINT CHARLES CATALOGNE CARBURANTS
26902001,Géant,GEANT CASINO VALENCE 2
42152003,Intermarché,INTERMARCHE L'HORME
78410002,Carrefour,CARREFOUR FLINS SUR SEINE
62000006,Leclerc,DAINVILDIS
35200003,Carrefour Market,Carrefour Market LA POTERIE
11000016,Carrefour,CARREFOUR PONT ROUGE
76600014,Système U,SAS MAET
26300013,,
84000008,Esso Express,ESSO CROISIERE
31120005,Esso Express,ESSO DE CLAIRFONT
51200004,Esso Express,ESSO EPERNAY
40530001,Esso,ESSO LABENNE OUEST
73100005,Esso Express,ESSO ROND POINT
51100015,Esso Express,ESSO ST MARCEAUX
47150003,,
68540001,Système U,super u
30120002,Système U,SUPER U
13410004,,
13001002,,
38150005,Intermarché,INTERMARCHE CHANAS
49420002,Total,SARL GARAGE HOUTIN
88100004,Leclerc,SAS  DIEDIS
77400012,,
33370014,Total Access,RELAIS TRESSES STAR
63190011,Total,RELAIS D'ORLEAT
73630004,,
89100001,Carrefour,CARREFOUR SENS MAILLOT
77141003,,
64500006,Total,RELAIS ST JEAN DE LUZ CHANTACO
29450001,Système U,Station U du Pont Bleu
91100019,,
54670004,Total,RELAIS DE CUSTINES
71600003,Leclerc,SOFIPAR
17600004,,
8330002,Carrefour Contact,Carrefour Contact
86000025,,
56550002,Total,MR KERZERHO CHRISTOPHE
94100006,Esso Express,ESSO FOCH
85700002,Système U,SARL MCN DISTRIBUTION
95490004,,
56430002,Total,GGE BRIAND SARL
92700020,Shell,STATION SHELL COLOMBES
26140003,Intermarché,INTERMARCHE SAS ANEBUIS
45410001,Intermarché,INTERMARCHE ARTENAY
31450004,Système U,SUPER U
26200008,,
71370003,Intermarché,INTERMARCHE OUROUX SUR SAONE
14100003,Leclerc,LISIEUX-DISTRIBUTION
60140003,Leclerc,LECLERC LIANCOURT
42110003,Intermarché,INTERMARCHE FEURS CIVENS
43190003,,
49000012,Total Access,RELAIS ANCIENNES PROVINCES
90000015,Total Access,RELAIS BELFORT LECLERC
95450007,,
70000009,Leclerc,NOIDIS
93290003,Carrefour Market,Carrefour Market
91590009,Total Access,RELAIS MOULIN DU GUE
78350002,Total Access,RELAIS CLAIR BOIS
74300004,Intermarché,INTERMARCHE THYEZ
34400013,Intermarché,INTERMARCHE LUNEL LES PORTES DE LA MER
51000001,Carrefour,CARREFOUR CHALONS EN CHAMPAGNE
71760001,,
42300013,,
88800002,Carrefour Market,Carrefour Market
43200003,Elan,Station du col
92000017,Total,RELAIS GOULVENTS
36300006,Système U,SU LE BLANC
88250001,Total,SA GARAGE BERTRAND
81200002,Simply Market,SIMPLY MARKET
13112003,Intermarché,INTERMARCHE LA DESTROUSSE
89470001,CORA,CORA
61140001,Carrefour Contact,SUPERMARCHE CARREFOUR CONTACT
75013025,Total Access,RELAIS VINCENT AURIOL
